kelime,anlam
Hasbel,Az buçuk.
Haset,"Kıskanç,fesat."
Hasgız,"Hanım hanımcık,nazik."
Haşara,Yaramaz çocuk.
Haşıl,Mısır yarması yemeği.
Haşimdi,Şu anda.Hemen.Tam şimdi.
Haşlak,"Yakıcı,kavurucu.Yarı pişmiş."
Haşöle,Şöyle.
Hauşu,İşte şu
Hatça,Hatice adının yöresel söylenişi.
Haus,Hafız adının yöresel söylenişi.
Hatırtı,Gürültü.
Havli,Güç kuvvet.Derman
Havruz,Çocuk lazımlığı.
Havse,Hafıze adının yöresel söylenişi.
Hayan,"Yineleme,yola gitme."
Hayana,"Önden,devamlı."
Hayat,"Eve giriş bölümü,balkon.Antre."
Hayda,Böyle mi olacaktı.Buda ne.
Haydi,Gel.Gelmesi için sesleniş.
Haylaz,Avare dolaşan.
He,"Evet,onaylama."
Hedik,Karda batmayan ayakkabılık.
Helenpir,Külüstür.Angaz.
Helim,Halim adının yöresel söylenişi.
Helle,Undan yapılan sulu çorba.
Hendek,Derin kazılmış çukur sınır.
Henki,Şımarık.
Henkirleme,İhtiyarlamak.
Hennük,"Islak,nemli,tavlı.Verimli yağmur."
Hepek,Kapak.Gizli geçit
Hepenk,Evlerde gizli geçit.
Hepirhepir,Alelacele.
Herdem,Her zaman.
Heri,Henüz.Pekiştirme.
Herk,Tarlayı toprağı sürme işi.
Herkeş,"Elalem,herkes"
Herkiş,Açıkca yapılan.
Hers,Hırsla karışık sinir.
Herslenmek,Sinirlenmek.
Hevlane,Küçük tencere.
Hevle,"Ayni,öyle."
Hevlek,Bir mantar çeşiti.
Heyleme,Hayvanlara seslenme.
Heysin,Hasan adının yöresel söylenişi.
Hılli,Göründüğü gibi olmayan.
Hımbıl,Uyuşuk.
"Sümkürmek. 
Hıntak",Gevşek tıkız sıkı olmayan.
Hınzır,Gizli art niyetli.Fesat.
Hırpani,Biçimsiz giyiyen.
Hırpetmek,Birleştirmek.eklemek.Örtmek.
Hırtlama,Ezerek parçalama.
Hışım,Birden hareketlenme.
Hışır,"Yıkık.dökük,eski.Kullanılmaz."
Hışırlak,"Yarı eski,eskimiye başlamış."
Hıtlamak,"Kesmek,parçalamak."
Hıytık,"Yırtık,parçalı."
Hıza,"Sıra,dizi."
Hızan,Çocuk.
Hızar,Büyük testere.
Hızım darı,Zayıf mısır.
Hilefsiz,Saf.Temiz.Pürüzsüz.
Him,Duvar temelin toprağa oturduğu yer.
Hirtik,"Geçimsiz,dirliksiz.Fesat çıkaran."
Hodul,"Kaba,kabaca."
Hoğol,Çabuk olma.
Hoğoldama,Çabuk koşma.
Hokka,Mürekkep.
Hokkabaz,Cambaz.
Holasa,Gelişigüzel yapılan iş.
Hollama,"Fındık ayıklama,taneleme."
Hombul,Kaba davranan insan.Şişman
Homhom,İnsanlarla fazla konuşmayan.
Honça,Küçük yün torba.
Hopalak,Tombul.
Hopcin,"Fasulyeli,soğanlı lahana yemeği."
Hopculama,Zıplama.
Hoplama,Yüksek yerden atlama.
Hopul,Unun tortusu.
Horon,Bir araya gelerek oynanan oyun.
Horsa,Heves.
Horsasını almak,Hevesini almak.
Horsası geçmek,Hevesi geçmek.
Hortlak,Hayalet.Cin.
Hortik,Küçük yavru.
"Hotur            Bodur kalmış ağaç. 
Hoşaf",Suda pişirilen meyve.Komposto.
Hoşkil,Bir tür kağıt oyunu
Hoşmak,Fasulye ezmesi.
Hoşran,Yemeği yapın yabani bitki.
Hoşthoş,Köpek kovalama
Hoşuran,Yabani bitki.
Hoyda,Hep beraber.Birlikte.
Hoyrat,"Başıboş,avare dolaşan."
Hozan,Sık çalılık.
Höl,"Çok sulu,ıslaklık."
Höldirik,İçi dışı görünen.Basit yapıla eşya.
Höldüredek,Birdebire.
Höltek,"İşi bitmiş,süresi dolmuş."
Hörelenmek,Kafa tutmak.Dayılanmak.
Hösdüremük,Tatsız içilemiyen çay.
Hörtük,Ayı yavrusu.
Höşül,"Bozulmuş ezilmiş meyve,sebze."
Höşmek,Ekmek ezmesi.
Hulukcu,Çok kalabalık.
Huy,Alışkanlık.
Hütceten,Aniden.Birdenbire.Beklenmeden olan.
"I-                                                    
Ibalı","Nemli,ıslak."
Ilgın,Baygın
Imık,Sıcak.
Imımak,Isınmak
Ipımık,Çok sıcak
Irgag,"Gevşek,bol olan."
Irgamak,Sallama.
Irganmak,Sallanmak.Kımıldamak.
Irgat,Amele.İşçi.
Irıb,Yöntem.Püf noktası.
Isgarbin,Ayakkabı.Kundura.
Islak,"Sulanmış,yaş"
Islık,"Ağızla çağırma,tiz ses."
Istınka,ağzına kadar dolu.
Işgın,Fındığın taze sürgün dalları.Fındık filizi.
Işımak,Gecenin aydınlanması.
Işıldak,Bir çeşit gaz lambası.
Işmal,Yeni taze sürgün.
Işmar,Göz ile işaret etmek.
Iymak,Sermek.Yaymak
"İ-                   
İbrik",Kuplu su kabı.
İçellenmek,Üzülmek.Alınganlık göstermek.
İçlik,Gömlek.
İğdiç,Eğri bacaklı.
İkretmek,Tiksinmek.Nefret etmek.
İlenmek,Beddua etmek.
İleriki Gün,İki gün sonrası.Önceki gün.
İlik,Düğme deliği.Kemik içi.
İlistir,"Delikli bakır süzgeç.Metal kalbur,kevgir."
İlmek,Düğüm.
İndem,O kadar değil.
İnme,Felç olma.
İrepata,Ekmek yapmaya yarayan.
İrin,İltahap.Cerahat
İs,"Duman,ateşten çıkan duman lekesi."
İsin,Hüseyin adının yöresel söyleme.
İskembi,Sandalye.
İstif,"Yığın,öbek yapma."
İşmak etmek,"Baş,göz ve elle işaret etmek."
İt Dirseği,Arpacık.
İyicene,Hepten.İyice.
İzavra,"Köle,amele."
İzmarit,Sigara artığı.Bir balık.
"K- 
Kabakcı",Ordululara verilen ad.
Kabarcık,Sivilce.
Kabcuk,Boş fındık kabuğu.
Kaçmak,Koşma.
Kağat,Kağıt.
Kahyası,İlgili.Alakadar.
Kakma,"Çivileme,vurma."
Kakmuklamak,Yumrukla itip kakalamak.
Kaliser,Şebinkarahisar.
Kaltak,İşe yaramaz.
Kanca,Askı çengeli.
Kancık,Dişi köpek.
Kanma,Doyma.İnanma.
Kapçak,"Su toplama çukuru,yalak."
Kapşon,Giyeceklerin başlığı.
Karaltı,Gece belli olmayan nesne.
Karakış,Aralık ayı.
Kara lastik,Lastik ayakkabı.
Karatavuk,Bir çeşit kuş.
Karduf,Patetes.
Karşılama,Bir Giresun oyunu.Geleni bekleme.
Kasele,Ayarlama.
Kasnak,Yuvarlak tahta.
Kaşmir,Parlak kumaş.
Katakulli,Üçkağıtcılık.Oyun.
Katır,Yük hayvanı.
Katran,Zift.
Katuk,Ayran.
Kav,Kuru ağaç mantarı.
Kavşatma,"Genişletme,yumuşatma."
Kavruk,Çok kurumuş.
Kavuma gitme,Düğünde gelin evine ziyarete gitmek.
Kavut,Kuru.Kepekli un.
Kaykıl,Yana kayma.Öte gitme.
Kaynar,Çok sıcak olan.
Kaynarı,Azarlama deyimi.Ölmeyesice.
Kaynana,Eşlerin anneleri.
Kaynata,Eşlerin babaları.
Kayıncı,Hanım erkek kardeşi.
Kayıntı,Aperatif  yapma.
Kazma,Tarım aleti.Toprak eşeleme.
Kebelek,Kelebek.Uçan böçek.
Keçe,Keçi kılından dokuma.Sert dokuma.
Keçemen,Kertenkele.
Keçibaş,Yarı kel kimse.
Keçilik,Yabani ağaç.
Kef,"Curuf,tortu."
Kefli,"Kir,kirli."
Kekeç,Kekemen.
Kelep,İplik çilesi.
Kelçük,Meyvelerin iç kısmı.Meyve koçanı.
Kelle,Mısır koçanı.
Kelek,Hayvan çanı.
Kelem,Karalahana gövdesi.
Keleplemek,Fırlatıp atmak.
Keller,Kertenkele.
Kelif,Basit yapılışlı sığınak.Baraka.
Kelpenti,Çivi sökme aleti.
Kemçük,Biçimsiz.Çukurca.
Keme,Büyük fare.
Kemre,Hayvan gübresi.
Kendir,Kenevir.
Kenef,Tuvalet.
Kerenti,Tırpan.
Kesek,Kısa çubuk.Kuru toprak parçası.
Kesik,Yara.Yaralı.
Kesmük,Tahıl başağı.
Kestirme,Kısa mesafeli yol.
Kesitmek,Dedikodu yapma.
Keşan,"Başa,belle bağlanan yöresel örtü.Peştambal."
Keşap,İçilebilinir berrak temiz su.
Keşgül,"Su kabağı,su kabı."
Keşik,"Dizi,sıra."
Keşir,Meyvenin yenilmeyen kısmı.
Ketun,"Elisıkı,cimri.Bağlı."
Kevgir,Süzgeç.
Keyfanı,İhtiyar kadın.Kocakarı.
Keyif,"Rahatlık,yatmak."
Kıble,Güneyden esen rüzgar.
Kımıldamak,"Ayağa kalkmak,hareket etmek."
Kıpkızıl,Çok kırmızı.
Kışkış,Kovma.Gönderme.
Kışla,Böğürtlen kaplı orman.
Kıt,Çok az bulunan.
Kıvrıl,Eğri.Bükük.
Kıymık,İnce odun parçası.
Kıytırık,Hafif işe yaramaz.Değersiz.
Kızıl,"Olmamış,ham."
Kile,Ağırlık ölçüsü.
Kiltik,Küçük sabun parçası.
Kivra,Tutarsız kadın kız.
Kiraz ayı,Haziran ayı.
Kiraz duzlusu,Kirazın tuzlu salamurası.
Kirko,Tirizma vurma aleti.
Kodaman,Yaşlı zengin kimse.
Kof,İçi boş.
Kofil,Fıçı.
Konuşuk,"Söz birliği.Laf,söz."
Kopça,Düğme.Kısa bacaklı kimse.
Kopil,Küçük çocuk.
Kopuk,Bağlantısı olmayan.Serseri.
Kor,Ateş.
Korgon,Mısır çorbası.
Koruk,İçi boş fındık.
Kot,Tahıl ölçüme kabı.
Kotmak,Ağaç tabura.
Köhne,Çok eski.
Kökçeğiz,Küçücük ağaç kökleri.
Kökleme,Fındık fidanı.
Köm,Toprak ev.Hayvan ağır.
Kömeç,Kuru ağaç parçası.
Kömsük,Kısa küçük mısır koçanı.
Kömüş,Manda.
Kösere,Yuvarlak bileği taşı.
Kösmük,Sigara izmaritdi.
Köstü,Köstebek.
Köstüre,El ile çevrilen bileği taşı.
Kötek,"Dayak.Kısa deynek,sopa."
Köz,"İyi yanmış odun,ateş."
Krizma,Toprağı derin kazma.
Kub,"Tutulacak yer,sap."
Küçüleme,Çember ile sıkı baş bağlama.
Kuduruk,Kuduz.Deli hali olan.
Kufa,Tahta su kabı.
Kulaç,Açılan iki kol arası.
Kulaklı,İki kulplu tava.
Kulübe,Küçük tek odalı yapı.
Kuma,Ayni erkekle evli kadınlar.
Kuytu,Çukur.
Kuzlak,"Kuzeye bakan,fazla güneş almayan."
Külek,Yuvarlak tahta kap.
Külek kafalı,Büyük kafalı geç anlayan.
Küllük,Ocakbaşı kül toplanan yer.
Külür,Bezelye.
Külüstür,"İşe yaramaz,eski."
Kümbet,Değirmen unluğu.Büyük ağaç kap.
Kümbül,Kambur.
Küpbaş,Kocakafalı.Başı büyük.
Küpü,"Baltanı sırtı,arka tarafı."
Kürtük,Buz tutmuş erimeyen kar yığını.
Kürün,Su içilen alınan ağaç çeşme.
Kütmek,Küçük tahta oturak.Tabure.
Kütük,Kalın kereste.Kesik ağaç kökü.
Küveç,Ağaçtan yapılan kap.
"L- 
Lapçin",Takunya.
Lavaş,Yassı yumuşak ekmek.Pide.
Laz Armuttu,Giresun’da yetişen bir armut çeşidi.
Leftir,Karışık
Lepelek,"Hafif,ince,tül."
Leş,Hayvan ölüsü.
Lobut,Büyük değnek.Şişman iri kimse.
Lobya,Kuru fasulye.
Lomya,Taze fasulye.
Löç,Islak.Suya doymuş.
Lök,Çok sulu.
Löküz,Tüplü gazlı parlak ışık veren lamba.
Lül,Undan yapılan tavuk yemi.
Lülemek,Bir şeyin ucu yontma.Sivriltme.
Lülü,Yemlemek için tavuğu çağırma.
"M- 
Mabeyin",Oda.Bölme.
Macir,Göçmen.
Macirce,"Göçmenlerin konuştuğu dil,şive."
Mada,İştah
Madalı,İştahlı.
Madema,"Niçin,neden."
Mafir,Defa.Kere.kez.
Mağatcama,:Meğerse.Onun için.
Mağzer,Tüfek.
Mahna,Mazeret.
Mahnalık,Sebep.Dayanak.
Mahlukat,Yabani havyan.Yaratık.
Makluvat,Zayıf yabani hayvan.
Maksus,Yalandan.Kandırmaca.
Makta,Orman kesim yeri.Arazi bölümü.
Malak,Manda yavrusu.
Mam,Bir tür oyun.
Mamali,Peynir küçük kurdu.
Mandalin,Mandalina.
Mapus,Cezaevi.
Marguç,Biberon.
Mastı,Çoban değneği.Sırık.Sepet çubuğu.
Maşagat,Uzun çalışma.Uğraş.
Maşat,Çalışma.Caba.
Maşraba,Su içme kabı.
Maraz,Ruhi hastalık.Sıkıntı.
Matrak,Dalga geçme.Güldürme.
Mavzer,Tüfek.
Mayıs,Yabani çilek.
Maza,Dükkan.
Mazı,Direkler üzerine yapılan kiler.
Medek,Dişi manda.
Meci,"İmece,ırgat."
Meğel,Küçük geniş çalışma.İsteme yanlısı.
Meğersem,Başka türlü.Alternatif.
Meh,"Al,buyur."
Melanet,Bela.Baş belası.
Melavcan,"Diken sürgünü,filizi."
Melhem,"İlaç,merhem."
Melun,"Tehlikeli.Şeytan,yılan."
Mendabur,"Kötü,kirli."
Mendek,Yemeği yapılan yabani bitki.
Merek,Hayvan yemleri konulan yapı.
Mertek,"Kereste,direk."
Merulcan,"Yenilen taze diken ucu,sürgünü."
Mes,"Deri ayaklık,çorap."
Meşagat,Uğraşma.Zorluk çalışma.
Meşebe,"Su kabı,maşraba."
Mıcır,İnce çakıl taşları.
Mıh,Çivi.
Mırık,Ses çıkarma.
Mırız,"Zayıf,hastalıklı."
Mısgıç,"Eli sıkı,cimri."
Mısmıl,"Uyuşuk,tembel."
Mıymıntı,"Huysuz,sorunlu kişi."
Mızıkcı,Oyun bozan.
Mızmız,Çok nazlı.
Mil,Elişi yapılan tığ.
Mintan,Gömlek.
Misir,Domates.
Mitil,"Yer yatağı,döşek."
Miz,Buzağın ağzına takılan çatal demir.
Momuli,"Küçük kurd,böcek."
Mostra,Kösele.
Mort,Düşüp bayılan.
Mökem,Sağlam.
Mööşkokan,Kötü kokan.
Muabin,Evin ana direği.
Muallak,Sahipsiz.
Mudara,"Sağlam olmayan,eğrelti duran."
Mugalif,"Zayıf,dayanıksız."
Mugayet olma,Sahip olma.Korumak.
Mundar,Birdenbire kesilmeden ölen.Pis.
Munzur,Baş belası.Dert.
Murç,"Kalın demir delgi,keski."
Muska,Boyuna takılan dua.
Musluk,Mutfakta bulaşık yıkama yeri.Lavabo.
Mükgem,Sıkı.Kuvvetli.Sağlam.
Münafık,Fesat.Cadı.
Müsrif,"Savurgan,savruk."
Müşkül,"Zor,zorluk."
"N- 
Nacak",Küçük balta.
Nah,"Al,alsana anlamında."
Namazlağ,Seccade.
Namazlık,Beyaz başörtüsü.
Nalça,Ayakkabının alt demiri.
Nalgun,"Nakliye,geçiş ücreti."
Namlu,"Mısır sapı,ot demetti.Tabanca borusu."
Nar,"Ateş,ateş parçası."
Nebri,Gayri İslam olan kimseler.
Nebze,"Azıcık,zerre kadar."
Nene,Nine.Babaanne.Anneanne.
Ne olisin,Neden karışıyorsun.
Nelik,İhtiyaçlar.Yiyecekler.
Nendabur,"Kirli,kötü."
Nerdek,"Üzüm suyu,şırası."
Nezik,Güzel.Taze.
Nezük,Çok taze.Tatlı.
Nifi,"Gayri Müslim kadın.Açık giyinen,açık saçlı."
Nire,Nere
"O- 
Oba",Yaylada konaklama yeri.
Obuz,Küçük dere.Dar vadi.
Okarı,Yukarı.
Okka,Ağırlık ölçüsü.
Orak,"Mısır,ot biçme aleti."
Orak ayı,Temmuz ayı.
Oslama,Boşuna.
Osmak,Kıyaslamak.
Otlak,"Hayvanların otladığı yer,mera."
Otluk,"Uzun ağaca sarılan mısır sapı,yığın."
Oyrak,"Çukur arazi,uçurum."
Oysama,"Oysa,halbuki."
"Ö-                                                                              
Öbür",Başka.Başkası.
Öd,"İrin,cerehat."
Ödlek,Korkak.
Öğez,Küçük sinekler.
Öğürmek,Kusmakya başlamak.
Öğürsek,Kızgınlık gösteren hayvan.
Öklemek,"Bağlamak,sabitlemek."
Öklü,Bir yere bağlı olan.
Ölin,Öğlen vakti.
Ölümcür,Çok hasta.
Ömeç,Tereyağlı taze mısır ekmeği ezmesi.
Örkürmek,Bir kişinin taklitdini yapmak.Özenmek.
Örüzger,Rüzgar.Yel.
Öse,Ateşte ucu tutuşmuş yanan odun.
Öte,Uzak taraf.
Öteki,Diğeri.
Öteberi,Eşya.
Ötürük,İshal.
Öyme,"Sürme,bulaştırma,dokundurma."
Özül,Yabani ağaccık.
"P- 
Pakça",Küçük ev.Serentiye benzer yapı.
Paçuri,Paçavra.Bez parçası.
Padar,Çam ağacı kabuğu.
Pağac,Kor ateşli külde pişirilen ekmek.
Pahal,Bencil.Kıvkanç.
Pakla,Fasulye.
Palak,Manda veya ayı yavrusu.
Palan,Minder  çeşidi.Kalın örtü.
Palaska,Kemer.
Palaspandıras,Apar topar birden.Patır kütür
Paldır,Otsu hayvan yiyecekleri.
Palıç,Hamur ekmeği.
Paltan,İri kurbağa.
Pancar,Karalahana.
Pança,Pençe.Çok kıllı el.
Pandır,Hayvan yiyeceği yabani ot.
Papara,Ekmek tatlısı.Dayak.
Parıltı,Işık.Alev.
Parlama,Bağırma.
Pasa,Habire.Devamlı.
Paşapaşa,Mecburen.Zorunlu olarak.
Paşka,Tek odalı küçük ev.Kibrit kutusu.
Patar,Kısa kalın kereste.
Patapat,Berabere.Eşit.
Patırtı,Gürültü.
Patik,Kısa örme çorap.
Patlanguç,Yabani bitki.Oyuncak.
Patoz,Fındık taneleme makinesi.
Payanda,Destek.
Payandura,Çok kuvvetli destek.
Paydak,Yan yürüyen.
Paykırtmak,"Kaçırmak,ürkürtmek,Korkurtmak."
Peğe,Bahçe kenarı taş örgü.Duvar.Engel.
"Pek              Sağlam. 
Peklik",Kabızlık.
Pelte,Parça.Ayrı.
Peltek,Kekeme.
Pelit,Meşe ağacı çeşiti.
Pere,Koyunun toplandığı yer.
Perçem,Alındaki saçlar.
Pervaz,Kapı pencere kenarı.
Pestil,Dut pekmezi kurutması.
Pestili çıkma,Çok yoğurlma.
Peş,Yama.Ek.
Peşt,Arka taraf.
Peşgi,Küçük soba.
Peşgir,Havlu.
Peşi,"Art,arka."
Peştembal,Belle bağlanan yöresel giysi.
Peydaolma,Meydana gelme.
Pezük,"Havuç cinsi,yenilen bitki."
Pıddak,Paylamış mısır.
Pıllamak,Uçmak
Pıllaböcü,Uğurböceği.
Pırıltı,Işık yansıması.
Pırlak,Parlak olan.
Pırtı,"Elbise,giyisi.Çamaşır."
Pıtırak,Yapışkan.
Pıtlak,Patlamış mısır.
Pıtlakdarı,İnce taneli mısır.
Pıykırtmak,Kaçırmak.
Pıymak,Hızla koşmak.
Picali,Bezelye.
Piç,Fındık kökünden çıkan yeni sürgün.
Pinekleme,İş yapmadan bekleme.
Pipirik,Cesaretsiz.Şüpheci.Gölgesinden korkan.
Pisi,Kedi.
Pişt,Bir çeşit seslenme.
Poğul,Pişmiş mısır koçanı.
Port,İşe yaramaz yün.
Porsuma,Yıpranma.Aşınma.
Posurma,Giysilerin eskimesi.
Pörtlek,Patlak.
Pösteki,Yünlü koyun derisi.
Pöstekisi çıkma,Çok çalışarak. yorulmak
Pöşge,Soba.
Pur,Bir çeşit toprak.
Putuna,Turşu konulan büyük tahta fıçı.
Pür,"Çam dalı ucu ,yaprağı"
Pürcek,Çok sık uzun püskül.Salkım.
Püre,"Sebze,meyve haşlaması,ezmesi."
Püs,Mısır koçanı püskülü.
Püskül,Süs.
"R- 
Rafan gitmek","Çok hızlı gitmek,ilerlemek."
Rahle,Kitap okuma sehpası.
Rahmet,Yağmur.
Reşat,Altın.
"S- 
Saablanma",Sahip çıkma.
Sabat,Sabır.Bekleme.
Saç,Üzerinde ekmek pişirilen tandır.
Saçayağı,Saç altı üç ayaklı yuvarlak demir.
Sadır,Sidik.
Sağnak,Yağmur.
Sağrak,Tereyağı saklanan ağaç kap.
Sahan,Geniş derince bakır yemek kabı.
Sakar,Hayvanın alında bulunan beyazlık.
Sakat,Vücutda çıkan yaralar.Cıban.
Sakartlak,Kan emici böcek.Kene.
Sakırca,Beyaz çiçekli kökü yenen yabani bitki.
Sal,Tabut.
Salamuk,Tuvalet.
Salık,Tarif.Yön gösterme.
Sali,Salı günü.
Salma,Serbest bırakma.
Salman,Köy bütçesine verilen para.
Sandım,Zannettim.
Saplık,"Balta,kazma sapı."
Saplıayak,Ayran metal kepçesi.
Sarıavu,Saru çiçek açan ormangüllü.
Sarıncalı,Yabani sarı arı.
Sarma,Etrafını çevirme.Lahana dolması.
Sasuk,Tatsız. Lezzetsiz.
Savak,Değirmen suyunu yönlendirme.
Savmak,Atlatmak.Kesmek.
Savruk,"Müsrif,eli açık."
Savuşma,Gitme.Sırasını geçme.
Sayfan,Bahçelerde bekçi kulübesi.
Sazak,Bataklık.Çamurlu.
Sazlık,Sürekli su tutan arazi.Batak.
Sazmak,Islak çimen.
Sef,Yanlış.Hata.Ters yön.
"Seflik        Yanlışlık. 
Seğirtmek",Koşmak.Fırlamak.
Seki,Tarlalar arası tümsek sınır.
Sekmen,Küçüçk tahta oturak.
Selek,Ortaboy sepet.
Semekse,Üzüm çorbası.
Semete,"Sebep,neden,vasıa.Uyku sersemliği."
Sendeleme,Dengesini kaybetme.
Sepetbaş,İçi boş kafalı.
Sepgen,Rüzgarlı yağan yağmur.
Serenti,Direkler üstüne yapılan kiler.
Sergü,Üzerinde kurutma yapılan örtü.Çarşaf.
Set,"Oturma yeri,koltuk,sedir."
Sıbıç,Sebze ve meyve sapı.
Sıçan,Küçük fare.
Sığ,Derin olmayan.
Sıksapı,Sökülüp kurutulan ince mısır sapı.
Sınnak,Hayvanların ayak tırnakları.
Sıpartlama,"Elbise kolu,paça kıvılma."
Sıpa,Eşek yavrusu.
Sırf,İnadiye.Onun için.
Sırappa,Sıraya dizili.
Sırgan,Isırgan otu.
Sırıtma,Gereksiz gülme.
Sırnaşık,"Şımarık, yapışkan."
Sırtarmak,Alaylı gülme.
Sıvışma,"Saklanma,kaybolma."
Sıymak,"Kaymak,kayak."
Sıypırmak,"Kaydırma,kenara vurdurma."
Sibekbaşlı,"Gıcık,aksi,inat huylu."
Sifde,"İlk önce,yapılan."
Sifdiin,İlk olarak.
Sille,Tokat
Silek,Paspas.
Sim,Yaldız.Parlak tel.
Simelek,Uyşuk.İşe yaramaz.
Sin,Saklan.
Sini,Büyük tebsi.Sofra.
Sinmek,Saklanmak.
Sinsi,Gizlice yapmak .
Sirke,Yeni doğan bit yavrusu.
Siron,Yufkadan yapılan yoğurtlu yemek.
Sitil,Madeni su kovası.
Sivil,Ekilecek küçük soğanlar.
Sivsiv,Küçük fare yavrusu.
Sofa,"Evin giriş bölümü,odası."
Soğlama,Fındık hasat sonu tekrar arama.Başak.
Somun,Yuvarlak fırın ekmeği.
Somurtgan,Dargın duran.
Söfe,Kapı üstü.
Sökütmek,Üzerindeki elbiseyi çıkartma.
Söykenmek,Bir yere yaslanma.
Sudökünme,Küçük ihtiyaç.
Sulusepken,Sulu yağan kar.
Summuk,Yumruk.
Susak,Su kabağı.Su kabı.
Suluk,Süzme konulan yer.
Sülfü,Pasaklı.
Sümüç,İki parmak arası ölçü.
"Sümsük           Yalaka.Şımarık. 
Süsme",Hayvanların vurması.İtekleme.
Süzme,Kurumayan yaş çökelek.
"Ş- 
Şablak","Tokat,şamar."
Şal,Başa ve omuza alınan örtü.
Şalak,Zamanı geçmiş  hıyar.
Şalgam,Tohumluk hıyar.
Şamar,"Sille,tokat."
Şankettirme,Vurma.Ses çıkartmak.
Şangır,"Dökülme,dökme."
Şankurşunkur,Çarçabuk toplanma.Acele.
Şap,"Acı,zehir."
Şapırtdatma,Yiyecek yemek.
Şapurtma,Sesli öpme.
Şarba,Baş örtüsü.
Şavadak,"Aniden,birdenbire."
Şavulgu,Kısa süren gelip geçen yağmur.
Şayet,Eğer.
Şebek,"Balık,hamsi pullu."
Şelbet,Şekerli su.
Şelek,Küçük sırt sepeti.
Şennik,Sebze ekilen küçük tarla.Küçük bahçe.
Şıma,"Beton,sıva."
Şilte,Bez örtü.Yatak yorgan astarı.
Şindik,Şimdi.
Şincik,Hemen.
Şiş,Örgü yapmada madeni çubuk.Tığ.
Şişek,Yaşına gelmiş koç koyun.
Şöfer,Sürücü.Şöför.
"T- 
Ta",Daha.İşte.
Taflan,Karayemiş.
Taflanduzlusu,Taflan tuzlaması yemeği
Tahtakurusu,Kokulu böcek.
Takguma,Ağaçkakan kuşu.
Talanmak,Durmadan bir şeylerle uğraşmak.
Talaş,Mısır koçanı dış yaprağı.
Tam,"Ağıl,ahır."
Tangır,İçi boş ses çıkaran.
Tangırtı,Görülmeyen ses.
Tapma,"Dalma,kaparak alma.Koparma."
Tapış,Paylaşma.
Taran,Sudaki taşın altındaki boşluk.Balık yuvası.
Tarumar,Dağınık.
Tas,Bakırdan yemek su kabı.
Tasal,Tembel işe yaramaz.Takatsiz.
Tasattuketmek,Dağıtmak.
Tay,Taşınacak yük parçası.Küçük at yavrusu.
"Taylanmak      .Hazırlanmak. 
Tazı",Köpek.
Tazılanma,Çabuk olma.
Teçin,Taze tuzsuz peynir.
Teçir,Esnaf.
Tedarık,Hazırlık.
Tehin,Çok hızlı hareket eden küçük hayvan.
Tehingibi,"Atik olmak,elli çabuk olan."
Tekne kazıntısı,Son olan çoçuk.
Telaşa,Panik.Telaş.
Telaşiyekalma,"Telaşlanmak,Telaşa düşmek."
Telef,Çok yorgun düşmek.Perişanlık.
Telef tasal,Yorgun argın olmak.
Telesimek,Susamak.
Tesbermek,Kurumak.
Tembi,"Uyarı,ikaz."
Tenkme,Tekleme.
Tente,Büyük bez parçası.Sergü.
Terbüşlü,Mutfakda kapaklı tabak.
Terki,Sırt çantası.Eyer çantası.
Terkeş,"Ters,çok karışık."
Tesbermek,Yorulmak.
Tesce,Çok aceleci.
Testi,Toprak kap.
Tevek,"Üzüm,kabak hıyarın uzun dalları."
Tevekkel,"Sakin,sessiz kişi.Gariban.Ganayaklı."
Tez,Çabuk.Hızlı bir şekilde.
Tıfıl,"Küçük,küçücük."
Tıkaç,"Tapa,tanpon."
Tıkız,"Sıkıca kapalı,bağlı.Kapalı."
Tıngırak,Hayvanlara takılan konik çan.
Tıpa,Tapa.
Tibal,Giyimine çok titiz olan.
Tiftik,Keçi yünü.
Tiken,Diken.
Tili,Çok titiz kişi.
Tir,Yemek seçen.
Tirebezi,"Pamuklu dokuma,basma bez."
Tirizma,Toprağı derin kazmak.
Tivsi,"Küçük balık,hamsi."
Toftaşma,Sakinleşme.
Tokarak,Yuvarlakca.
Tokaç,Çamaşır yıkamada kullanılan sopa.
Tokmak,Ağaç takoz.
Toklu,Yaşına gelmiş koyun.
Tombul,"Yuvarlak,şişman."
Tonga,Tuzak
Topuk,Ayağın arka kısmı.Yaylada ot çeşidi.
Topuk otu,Yaylalarda yetişen bir ot.
Topur,Dalda dikenli kestane meyvesi.Çotanak.
Tor,"Boncuk,oya boncuğu."
Toy,Acemi.
Tozak,İnce hafif yağan kar.Çok tozlu yer.
Tömbek,"Diken meyvesi,böğürtlen çileği."
Tömbelek,Küçük davul.
Töngel,Muşmula meyvesi.
Tulkurma,Şişme.
Turkurma,Sinirlenme.
Tulum,Peynir konulan koyun keçi derisi.
Tumba,Hamtevekten yapılan balık tutma sepeti.
Tutak,Mutfakta sıcak kap tutacağı.
Tuzlak,Koyunlara tuz verilen yer.
Tüksü,Yakma.Yanmış.
Tülemek,Başlangıç.Meydana gelme.
Tüllermek,Aniden üşümek.
Tümsek,"Yüksek yer,seki."
Tünek,Kümesde tavuk oturakları.
Tünekleme,Oturup bekleme.
Tünemek,Tavuk oturması.
Tütmek,Yanarak duman çıkarmak.
Tütsü,Yakılarak duman çıkarma.
